,povezava,ime,avtor,cas_priprave,povprečna_ocena,kategorija
0,'/recepti/juhe-in-zakuhe/ostale-juhe/cmocki-sarenke-v-zametni-bucni-juhi/21290/',Cmočki šarenke v žametni bučni juhi,Spar Slovenija,45 min,Unknown,juha
1,'/recepti/juhe-in-zakuhe/ostale-juhe/spargljeva-kremna-juha-z-zlicniki-iz-sunke-in-cemaza/21315/',Špargljeva kremna juha z žličniki iz šunke in čemaža,HOFER Slovenija,45 min,Unknown,juha
2,'/recepti/juhe-in-zakuhe/ostale-juhe/skutn-ca/21287/',Skutn'ca,ZELENE DOLINE,15 min,Unknown,juha
3,'/recepti/juhe-in-zakuhe/jusne-zakuhe/domaca-ribana-kasa/20825/',Domača ribana kaša,Žito,30 min,Unknown,juha
4,'/recepti/juhe-in-zakuhe/hladne-juhe/hladna-kumaricna-juha-z-morskim-nabodalom/21977/',Hladna kumarična juha z morskim nabodalom,HOFER Slovenija,30 min,Unknown,juha
5,'/recepti/juhe-in-zakuhe/zelenjavne-juhe/bucna-juhica-z-ingverjem/22080/',Bučna juhica z ingverjem,HOFER Slovenija,30 min,Unknown,juha
6,'/recepti/juhe-in-zakuhe/hladne-juhe/kumaricin-gazpacho-z-baziliko/22011/',Kumaričin gazpacho z baziliko,HOFER Slovenija,4+ ur,Unknown,juha
7,'/recepti/juhe-in-zakuhe/hladne-juhe/hladna-paradiznikova-juha/22044/',Hladna paradižnikova juha,HOFER Slovenija,4 ure,Unknown,juha
8,'/recepti/juhe-in-zakuhe/ostale-juhe/kremna-juha-iz-sampinjonov-spinace-in-lece-po-receptu-taja-s-goods/22356/',"Kremna juha iz šampinjonov, špinače in leče po receptu Taja’s goods",HOFER Slovenija,45 min,Unknown,juha
9,'/recepti/juhe-in-zakuhe/zelenjavne-juhe/korenckova-juha-z-jajcem-/22255/',Korenčkova juha z jajcem ,HOFER Slovenija,30 min,Unknown,juha
10,'/recepti/juhe-in-zakuhe/zelenjavne-juhe/juha-iz-jabolk-in-zelene-s-cesnovimi-krusnimi-kockami/22128/',Juha iz jabolk in zelene s česnovimi krušnimi kockami,HOFER Slovenija,1 ura,Unknown,juha
11,'/recepti/juhe-in-zakuhe/zelenjavne-juhe/juha-iz-rdecega-zelja-s-hrustljavo-slanino/22129/',Juha iz rdečega zelja s hrustljavo slanino,HOFER Slovenija,45 min,Unknown,juha
12,'/recepti/juhe-in-zakuhe/zelenjavne-juhe/buckino-porova-juha-s-kozjim-sirom/22293/',Bučkino-porova juha s kozjim sirom,HOFER Slovenija,30 min,Unknown,juha
13,'/recepti/juhe-in-zakuhe/mesne-juhe/mlejcna-krumsova-zupa-z-ajdovo-kaso-pa-sparglji/22503/',Mlejčna krumšova župa z ajdovo kašo pa šparglji,Ave_,1 ura 30 min,Unknown,juha
14,'/recepti/juhe-in-zakuhe/mesne-juhe/krumsova-zupa/22493/',Krumšova župa,Ave_,1 ura 30 min,Unknown,juha
15,'/recepti/juhe-in-zakuhe/zelenjavne-juhe/gosta-korenckova-juha-s-pure-svedri-in-ingverjem/22688/',Gosta korenčkova juha s Pure svedri in ingverjem,Pekarna Pečjak,30 min,Unknown,juha
16,'/recepti/juhe-in-zakuhe/ostale-juhe/ribja-juha-s-testeninami/22716/',Ribja juha s testeninami,Pekarna Pečjak,30 min,Unknown,juha
17,'/recepti/juhe-in-zakuhe/mesne-juhe/piscancja-juha-s-tortelini/22698/',Piščančja juha s tortelini,Pekarna Pečjak,1 ura,Unknown,juha
18,'/recepti/juhe-in-zakuhe/hladne-juhe/mandljeva-juha-ajoblanco/22718/',Mandljeva juha ajoblanco,Pekarna Pečjak,2 uri 30 min,Unknown,juha
19,'/recepti/juhe-in-zakuhe/zelenjavne-juhe/jesenska-juhica-s-kvinojo/22747/',Jesenska juhica s kvinojo,Malinca Nastja,1 ura,Unknown,juha
20,'/recepti/juhe-in-zakuhe/ostale-juhe/spargljeva-kremna-juha-z-zlicniki-iz-sunke-in-cemaza/21315/',Špargljeva kremna juha z žličniki iz šunke in čemaža,HOFER Slovenija,45 min,Unknown,juha
21,'/recepti/juhe-in-zakuhe/ostale-juhe/skutn-ca/21287/',Skutn'ca,ZELENE DOLINE,15 min,Unknown,juha
22,'/recepti/juhe-in-zakuhe/jusne-zakuhe/domaca-ribana-kasa/20825/',Domača ribana kaša,Žito,30 min,Unknown,juha
23,'/recepti/juhe-in-zakuhe/hladne-juhe/hladna-kumaricna-juha-z-morskim-nabodalom/21977/',Hladna kumarična juha z morskim nabodalom,HOFER Slovenija,30 min,Unknown,juha
24,'/recepti/juhe-in-zakuhe/zelenjavne-juhe/bucna-juhica-z-ingverjem/22080/',Bučna juhica z ingverjem,HOFER Slovenija,30 min,Unknown,juha
25,'/recepti/juhe-in-zakuhe/hladne-juhe/kumaricin-gazpacho-z-baziliko/22011/',Kumaričin gazpacho z baziliko,HOFER Slovenija,4+ ur,Unknown,juha
26,'/recepti/juhe-in-zakuhe/hladne-juhe/hladna-paradiznikova-juha/22044/',Hladna paradižnikova juha,HOFER Slovenija,4 ure,Unknown,juha
27,'/recepti/juhe-in-zakuhe/ostale-juhe/kremna-juha-iz-sampinjonov-spinace-in-lece-po-receptu-taja-s-goods/22356/',"Kremna juha iz šampinjonov, špinače in leče po receptu Taja’s goods",HOFER Slovenija,45 min,Unknown,juha
28,'/recepti/juhe-in-zakuhe/zelenjavne-juhe/korenckova-juha-z-jajcem-/22255/',Korenčkova juha z jajcem ,HOFER Slovenija,30 min,Unknown,juha
29,'/recepti/juhe-in-zakuhe/zelenjavne-juhe/juha-iz-jabolk-in-zelene-s-cesnovimi-krusnimi-kockami/22128/',Juha iz jabolk in zelene s česnovimi krušnimi kockami,HOFER Slovenija,1 ura,Unknown,juha
30,'/recepti/juhe-in-zakuhe/zelenjavne-juhe/juha-iz-rdecega-zelja-s-hrustljavo-slanino/22129/',Juha iz rdečega zelja s hrustljavo slanino,HOFER Slovenija,45 min,Unknown,juha
31,'/recepti/juhe-in-zakuhe/zelenjavne-juhe/buckino-porova-juha-s-kozjim-sirom/22293/',Bučkino-porova juha s kozjim sirom,HOFER Slovenija,30 min,Unknown,juha
32,'/recepti/juhe-in-zakuhe/mesne-juhe/mlejcna-krumsova-zupa-z-ajdovo-kaso-pa-sparglji/22503/',Mlejčna krumšova župa z ajdovo kašo pa šparglji,Ave_,1 ura 30 min,Unknown,juha
33,'/recepti/juhe-in-zakuhe/mesne-juhe/krumsova-zupa/22493/',Krumšova župa,Ave_,1 ura 30 min,Unknown,juha
34,'/recepti/juhe-in-zakuhe/zelenjavne-juhe/gosta-korenckova-juha-s-pure-svedri-in-ingverjem/22688/',Gosta korenčkova juha s Pure svedri in ingverjem,Pekarna Pečjak,30 min,Unknown,juha
